code ,GrowthRate ,MarketType ,R&Dintensity ,FirmSize 
Q00507638.00,109.22,2,323.73,2410.86
Q02099971.00,529.33,2,311.97,1497.37
Q02441541.00,1.11,3,208.92,5770.42
Q02240804.00,58.81,2,164.64,1668.31
Q00373204.00,-63.89,2,164.04,12558.5
Q01999427.00,-45.6,2,135.43,2179.74
Q02296333.00,-45.87,2,127.19,6021.19
Q00389497.00,26.06,2,116.58,44224.17
Q00526726.00,-26.17,3,108.73,3427.19
Q02650604.00,-0.77,2,107.51,1067.61
Q00350326.00,-51.06,3,106.45,3418.29
Q02677481.00,-40.04,2,103.73,10328.78
Q02226057.00,-24.8,5,100.76,1942.73
Q00202300.00,661.33,2,95.14,2735.88
Q02739065.00,-62.2,1,87.2,2842.81
Q00354581.00,0.11,2,78.52,1406.96
Q02578466.00,-75.94,2,76.35,11468.96
Q00520744.00,-30.6,3,73.06,1591.53
Q01872265.00,-12.56,3,68.32,713.81
Q00523427.00,-3.44,3,63.44,1624.46
Q01266125.00,23.11,2,54.33,2895.8
Q01799282.00,-7.22,3,54.15,2982.67
Q02650445.00,-40.9,6,54.1,984.66
Q01228162.00,-38.51,3,53.83,4368.34
Q00240859.00,-11.73,2,53.32,1991.43
Q01440487.00,-2.86,3,52.66,3135.57
Q00521966.00,12.62,3,52.06,1947.32
Q02733378.00,43.68,3,50.21,2500.98
Q02155471.00,0.15,3,46.99,8323.02
Q02795070.00,-65.12,1,43.68,748.96
Q02004603.00,-46.27,3,43.6,1481.41
Q02794307.00,-35.97,3,43.1,1346.54
Q02651458.00,-20.97,3,41.81,2116.06
Q00263066.00,-28.04,3,41.21,600.3
Q02577590.00,41.24,3,40.4,1652.38
Q00358458.00,121.83,3,40.33,21934.25
Q00376039.00,12.38,2,40.05,1478.87
Q00163122.00,-11.12,2,39.93,5098.4
Q02651545.00,20.47,3,37.42,2526.81
Q02230770.00,-4.49,2,37.14,1655.2
Q00405000.00,23.21,3,36.78,457.8
Q02476420.00,36.99,2,36.77,1788.33
Q00409840.00,34.5,3,36.76,4151.32
Q02004062.00,24.39,1,36.26,1336.34
Q00401639.00,-8.5,3,36.21,949.5
Q01293373.00,20.86,3,36.19,1946.57
Q02384528.00,27.32,3,35.86,876.93
Q01449915.00,14.68,5,35.67,1622.47
Q00414448.00,-20.75,3,35.66,1625.03
Q00438587.00,23.93,3,35.43,898.03
Q00338556.00,56.95,3,34.65,1915
Q01612562.00,-8.39,1,34.57,675.85
Q00495468.00,67.36,3,34.39,1316.75
Q00526864.00,18.44,3,34.27,12057.68
Q02408479.00,-9.42,3,33.84,1315.37
Q02543302.00,58.61,3,33.56,507.46
